n	y[n]	INTEG(y[n])
0	10003	39
1	9964	77
2	9968	116
3	9929	155
4	9933	194
5	9894	233
6	9898	271
7	9860	310
8	9864	348
9	9825	387
10	9829	425
11	9791	463
12	9794	502
13	9756	540
14	9760	578
15	9722	616
16	9726	654
17	9688	692
18	9692	730
19	9654	767
20	9658	805
21	9620	843
22	9624	880
23	9586	918
24	9590	955
25	9553	992
26	9557	1030
27	9519	1067
28	9523	1104
29	9486	1141
30	9490	1178
31	9453	1215
32	9457	1252
33	9420	1289
34	9424	1326
35	9387	1362
36	9391	1399
37	9354	1436
38	9358	1472
39	9322	1509
40	9326	1545
41	9289	1581
42	9293	1618
43	9257	1654
44	9261	1690
45	9224	1726
46	9228	1762
47	9192	1798
48	9196	1834
49	9160	1870
50	9164	1905
51	9128	1941
52	9132	1977
53	9097	2012
54	9101	2048
55	9065	2083
56	9069	2119
57	9033	2154
58	9037	2189
59	9002	2224
60	9006	2260
61	8971	2295
62	8975	2330
63	8940	2365
64	8944	2400
65	8909	2434
66	8913	2469
67	8878	2504
68	8882	2539
69	8847	2573
70	8851	2608
71	8816	2642
72	8820	2677
73	8786	2711
74	8790	2745
75	8755	2779
76	8759	2814
77	8725	2848
78	8729	2882
79	8695	2916
80	8699	2950
81	8665	2984
82	8669	3017
83	8635	3051
84	8639	3085
85	8605	3119
86	8609	3152
87	8575	3186
88	8579	3219
89	8546	3253
90	8549	3286
91	8516	3319
92	8520	3353
93	8487	3386
94	8491	3419
95	8457	3452
96	8461	3485
97	8428	3518
98	8432	3551
99	8399	3584
100	8403	3616
101	8370	3649
102	8374	3682
103	8342	3714
104	8345	3747
105	8313	3779
106	8317	3812
107	8284	3844
108	8288	3877
109	8256	3909
110	8260	3941
111	8227	3973
112	8231	4006
113	8199	4038
114	8203	4070
115	8171	4101
116	8175	4133
117	8143	4165
118	8147	4197
119	8115	4229
120	8119	4260
121	8087	4292
122	8091	4324
123	8060	4355
124	8064	4387
125	8032	4418
126	8036	4449
127	8005	4481
128	8008	4512
129	7977	4543
130	7981	4574
131	7950	4605
132	7954	4636
133	7923	4667
134	7927	4698
135	7896	4729
136	7900	4760
137	7869	4791
138	7873	4822
139	7842	4852
140	7846	4883
141	7815	4913
142	7819	4944
143	7788	4974
144	7792	5005
145	7762	5035
146	7766	5065
147	7736	5096
148	7739	5126
